"subject";"identifier";"type";"creator";"title";"volume";"edition";"publisher";"year";"format";"ISBN";"ISSN";"ISMN";"EAN/UPC";"binding/price";"language";"country";"date of publication";"description";"collective title";"links";"relation";"rights";"subject headings";"connected titles";"uniform title";"frequency";"wv number"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-426-52048-2 Broschur : EUR 9.99 (DE), EUR 10.30 (AT), 3-426-52048-6, IDN:1119351650";"";"Tomlinson, Patrick S. [Verfasser] ; Mäurer, Markus [Übersetzer]";"The ark : die letzte Reise der Menschheit : Roman / Patrick S. Tomlinson ; aus dem Englischen von Markus Mäurer";"";"Deutsche Erstausgabe";"München : Knaur";"2017";"415 Seiten ; 19 cm";"978-3-426-52048-2";"";"";"";"Broschur : EUR 9.99 (DE), EUR 10.30 (AT)";"ger";"XA-DE-BY";"";"";"Knaur ; 52048";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=c3a6059874a44abbb692a61bf9a11bff&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/015116468";"";"";"";"";"";"16,N47 , 17,A16"
"839 Literatur in anderen germanischen Sprachen ; B Belletristik";"ISBN:978-3-499-29055-8 Broschur : EUR 14.99 (DE), EUR 15.50 (AT), 3-499-29055-3, IDN:1119919061";"";"Bakkeid, Heine [Verfasser] ; Allenstein, Ursel [Übersetzer]";"[Jeg skal savne deg i morgen] ; ... und morgen werde ich dich vermissen : Thriller / Heine Bakkeid ; aus dem Norwegischen von Ursel Allenstein";"";"Deutsche Erstausgabe";"Reinbek bei Hamburg : Rowohlt Polaris";"2017";"411 Seiten ; 21 cm";"978-3-499-29055-8";"";"";"";"Broschur : EUR 14.99 (DE), EUR 15.50 (AT)";"ger";"XA-DE-SH";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=cf3c4fedde114d899371a4185cc7f3d1&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"";"Jeg skal savne deg i morgen";"";"16,N48 , 17,A35"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-95889-100-5 Broschur : ca. EUR 13.40 (AT), ca. sfr 18.90 (freier Pr.), ca. EUR 12.95 (DE), 3-95889-100-4, IDN:1079540040";"";"Häring, Volker [Verfasser]";"Beijing Baby : China-Krimi / Volker Häring";"";"1. Auflage";"Meerbusch : Conbook Medien";"2016";"318 Seiten ; 21 cm";"978-3-95889-100-5";"";"";"";"Broschur : ca. EUR 13.40 (AT), ca. sfr 18.90 (freier Pr.), ca. EUR 12.95 (DE)";"ger";"XA-DE-NW";"";"";"";"";"";"";"Peking ; Nachtleben ; Schauspielerin ; Mord ; Aufklärung &lt;Kriminologie>";"Erscheint auch als Volker Häring: Beijing Baby";"";"";"15,N50 , 16,A41"
"810 Englische Literatur Amerikas ; B Belletristik";"URN:urn:nbn:de:101:1-2016110724675, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2016110724675, URL:http://d-nb.info/1118427106/34, URL:http://www.klett-cotta.de, ISBN:978-3-608-10077-8, IDN:1118427106";"Online-Ressource";"Keyes, Daniel [Verfasser]";"[Flowers for Algernon] ; Blumen für Algernon : Roman / Daniel Keyes";"";"5. Aufl.";"Stuttgart : Klett-Cotta";"2016";"Online-Ressource";"978-3-608-10077-8";"";"";"";"";"ger";"XA-DE-BW";"";"";"";"Auszug [http://www.newbooks-services.de/CustomerLiterature/Texts/7/9783608960297_Excerpt_001.pdf]";"";"";"";"";"Flowers for Algernon";"";"16,O12"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-596-90560-7 Broschur : EUR 11.30 (AT), EUR 10.99 (DE), 3-596-90560-5, IDN:1078036284";"";"Dick, Philip K. [Verfasser] ; Mader, Friedrich [Übersetzer]";"[Dr. Bloodmoney or How we got along after the bomb] ; Nach der Bombe : Roman / Philip K. Dick ; aus dem Amerikanischen von Friedrich Mader";"";"";"Frankfurt am Main : Fischer Taschenbuch";"2016";"271 Seiten ; 19 cm";"978-3-596-90560-7";"";"";"";"Broschur : EUR 11.30 (AT), EUR 10.99 (DE)";"ger";"XA-DE-HE";"";"";"Fischer ; 90560; Fischer Klassik";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=87121f9186db47d9be27876b5ffbced9&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/010293345";"";"";"Erscheint auch als Philip K. Dick: Nach der Bombe";"Dr. Bloodmoney or How we got along after the bomb";"";"15,N45 , 16,A20"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-492-70349-9 Broschur : EUR 20.60 (AT), sfr 26.90 (freier Pr.), EUR 20.00 (DE), 3-492-70349-6, IDN:1078866481";"";"Christopher, John [Verfasser] ; Schaller, Wolfgang [Übersetzer] ; Rahn, Sabine [Mitwirkender]";"[The Tripods] ; Tripods : die dreibeinigen Herrscher : die komplette Saga / John Christopher ; aus dem Englischen von Wolfgang Schaller";"";"Sonderausgabe";"München ; Berlin ; Wien : Piper";"2016";"725 Seiten : Illustrationen ; 22 cm";"978-3-492-70349-9";"";"";"";"Broschur : EUR 20.60 (AT), sfr 26.90 (freier Pr.), EUR 20.00 (DE)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=e37911239a7d4c59ac170a4a653887e4&prov=M&dok_var=1&dok_ext=htm]; Inhaltsverzeichnis [http://d-nb.info/1078866481/04]";"";"";"";"Erscheint auch als: ISBN: 9783492972987; Erscheint auch als John Christopher: Tripods. Die dreibeinigen Herrscher";"The Tripods";"";"15,N48 , 16,A26"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-596-31148-4 : EUR 19.99 (DE), EUR 20.60 (AT), 3-596-31148-9, IDN:1103690086";"";"Styron, William ; Danehl, Günther";"[Set This House on Fire] ; Und legte Feuer an dies Haus : Roman / William Styron";"";"1. Auflage";"Frankfurt am Main : FISCHER Taschenbuch";"2016";"612 Seiten ; 19 cm x 12.5 cm, 660 g";"978-3-596-31148-4";"";"";"";"EUR 19.99 (DE), EUR 20.60 (AT)";"ger";"XA-DE-HE";"Juni 2016";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=de0633ca20884599bbd1f2d08d7f4350&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Erscheint auch als William Styron: Und legte Feuer an dies Haus; Erscheint auch als: ISBN: 9783100765017; Erscheint auch als: ISBN: 9783105611494";"Set This House on Fire";"";"16,N25"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-8479-0587-5 kart. : EUR 14.00 (DE), EUR 14.40 (AT) (freier Pr.), sfr 20.90 (freier Pr.), 3-8479-0587-2, IDN:1060743752";"";"Gaiman, Neil [Verfasser] ; Riffel, Hannes [Übersetzer]";"American gods : [Roman ; Director's Cut] / Neil Gaiman. Aus dem Engl. von Hannes Riffel";"";"";"[Köln] : Eichborn";"2015";"671 S. ; 22 cm";"978-3-8479-0587-5";"";"";"";"kart. : EUR 14.00 (DE), EUR 14.40 (AT) (freier Pr.), sfr 20.90 (freier Pr.)";"ger";"XA-DE-NW";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4821950&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Online-Ausg. Neil Gaiman: American Gods";"American gods <dt.>";"";"14,N47 , 15,A24"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-499-27044-4 Broschur : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.), 3-499-27044-7, IDN:1061001229";"";"Bergmann, Renate [Verfasser]";"Das bisschen Hüfte, meine Güte : die Online-Omi muss in Reha / Renate Bergmann";"";"Originalausgabe";"Reinbek bei Hamburg : Rowohlt Taschenbuch Verlag";"2015";"252 Seiten : Illustrationen ; 19 cm";"978-3-499-27044-4";"";"";"";"Broschur : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.)";"ger";"XA-DE-SH";"";"";"Rororo ; 27044";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4826584&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/010429638";"";"Berlin-Spandau ; Frau ; Hohes Alter ; Anschlussheilbehandlung";"";"";"";"14,N48 , 15,A43"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-492-30556-3 kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.), 3-492-30556-3, IDN:1062568354";"";"Boyne, John [Verfasser] ; Löcher-Lawrence, Werner [Übersetzer]";"Der freundliche Mr Crippen : Roman / John Boyne. Aus dem Engl. von Werner Löcher-Lawrence";"";"Ungekürzte Taschenbuchausg.";"München ; Berlin ; Zürich : Piper";"2015";"521 S. ; 19 cm";"978-3-492-30556-3";"";"";"";"kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.)";"ger";"XA-DE-BY";"";"";"Piper ; 30556";"Inhaltsverzeichnis [http://d-nb.info/1062568354/04]; Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4834297&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/015122727";"";"";"";"Crippen <dt.>";"";"14,N49 , 15,A22"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-95451-503-5 kart. : EUR 9.90 (DE), EUR 10.20 (AT), sfr 14.90 (freier Pr.), IDN:1061200469";"";"Frühling, Tim [Verfasser]";"Der Kommissar in Badeshorts : Fuerteventura-Krimi / Tim Frühling";"";"Orig.-Ausg.";"[Köln] : Emons";"2015";"176 S. ; 21 cm";"978-3-95451-503-5";"";"";"";"kart. : EUR 9.90 (DE), EUR 10.20 (AT), sfr 14.90 (freier Pr.)";"ger";"XA-DE-NW";"";"";"Emons: Kriminalroman";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4830544&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"";"";"";"14,N48 , 15,A24"
"860 Spanische und portugiesische Literatur ; B Belletristik";"ISBN:978-3-442-74529-6 kart. : EUR 10.99 (DE), EUR 11.30 (AT), 3-442-74529-2, IDN:1070341061";"";"Saramago, José [Verfasser] ; Mertin, Ray-Güde [Übersetzer]";"Die Stadt der Blinden : Roman / José Saramago. Aus dem Port. von Ray-Güde Mertin";"";"Genehmigte Taschenbuchausg., 1. Aufl.";"München : btb";"2015";"397 S. ; 19 cm";"978-3-442-74529-6";"";"";"";"kart. : EUR 10.99 (DE), EUR 11.30 (AT)";"ger";"XA-DE-BY";"";"";"btb ; 74529";"";"http://d-nb.info/94756649X";"";"Epidemie ; Blindheit ; Isolierung &lt;Medizin> ; Belletristische Darstellung";"";"Ensaio sobre a cegueira <dt.>";"";"15,N19 , 15,A38"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-940138-90-3 kart. : EUR 14.99 (DE), EUR 15.50 (AT), sfr 25.00 (freier Pr.), IDN:1051957087";"";"Krücken, Stefan [Mitwirkender] ; Prahl, Axel [Mitwirkender]";"[Wilde Welle] ; Axel Prahl präsentiert: Wilde Welle : die besten Geschichten alter Kapitäne / ausgew., eingeleitet und kommentiert von Axel Prahl. Aufgeschrieben von Stefan Kruecken";"";"Orig.-Ausg.";"Hollenstedt : Ankerherz";"2014";"200 S. : Ill., Kt. ; 21 cm";"978-3-940138-90-3";"";"";"";"kart. : EUR 14.99 (DE), EUR 15.50 (AT), sfr 25.00 (freier Pr.)";"ger";"XA-DE-NI";"";"";"Edition Campfire ; 08";"Inhaltsverzeichnis [http://d-nb.info/1051957087/04]; Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4685423&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/1050235916";"";"";"Online-Ausg. Stefan Krücken: Wilde Welle";"";"";"14,N24 , 15,A37"
"820 Englische Literatur ; B Belletristik";"URN:urn:nbn:de:101:1-201410222869, URL:http://nbn-resolving.de/urn:nbn:de:101:1-201410222869, URL:http://d-nb.info/1059806452/34, URL:http://www.droemer-knaur.de/, ISBN:978-3-426-42236-6, IDN:1059806452";"Online-Ressource";"Hodgson, Antonia [Verfasser] ; Volk, Katharina [Übersetzer]";"Das Teufelsloch : Roman / Antonia Hodgson";"";"1. Aufl.";"München : Knaur eBook";"2014";"Online-Ressource";"978-3-426-42236-6";"";"";"";"";"ger";"XA-DE-BY";"";"";"";"";"";"";"";"Druckausg.: ISBN: 978-3-426-65345-6; Druckausg. Antonia Hodgson: Das Teufelsloch";"";"";"14,O11"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-453-31583-9 kart. : EUR 14.99 (DE), EUR 15.50 (AT), sfr 21.90 (freier Pr.), 3-453-31583-9, IDN:105050559X";"";"Weir, Andy [Verfasser] ; Langowski, Jürgen [Übersetzer]";"Der Marsianer : Roman / Andy Weir. Aus dem Amerikan. von Jürgen Langowski";"";"";"München : Heyne";"2014";"508 S. : graph. Darst. ; 21 cm";"978-3-453-31583-9";"";"";"";"kart. : EUR 14.99 (DE), EUR 15.50 (AT), sfr 21.90 (freier Pr.)";"ger";"XA-DE-BY";"";"";"";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4652031&prov=M&dok_var=1&dok_ext=htm]";"";"";"";"Online-Ausg. Andy Weir: Der Marsianer";"The Martian <dt.>";"";"14,N19 , 14,A45"
"810 Englische Literatur Amerikas ; B Belletristik";"URN:urn:nbn:de:101:1-201408237927, URL:http://nbn-resolving.de/urn:nbn:de:101:1-201408237927, URL:http://d-nb.info/1056855266/34, ISBN:978-3-446-24541-9, 3-446-24541-3, IDN:1056855266";"Online-Ressource";"Hawthorne, Nathaniel [Verfasser] ; Brôcan, Jürgen [Herausgeber] [Übersetzer]";"Der scharlachrote Buchstabe / Nathaniel Hawthorne";"";"";"München : Hanser, Carl";"2014";"Online-Ressource";"978-3-446-24541-9";"";"";"";"";"ger";"XA-DE-BY";"";"";"";"Auszug [http://files.hanser.de/hanser/docs/20140204_20140204105943502_978-3-446-24541-9-Leseprobe.pdf]";"";"";"";"Druckausg.: ISBN: 978-3-446-24490-0; Druckausg. Nathaniel Hawthorne: Der scharlachrote Buchstabe";"";"";"14,O09"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-462-04662-5 kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.50 (freier Pr.), 3-462-04662-4, IDN:1044553073";"";"Hillenbrand, Tom [Verfasser]";"Drohnenland : Kriminalroman / Tom Hillenbrand";"";"Orig.-Ausg., 1. Aufl.";"Köln : Kiepenheuer & Witsch";"2014";"422 S. ; 19 cm";"978-3-462-04662-5";"";"";"";"kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.50 (freier Pr.)";"ger";"XA-DE-NW";"";"";"KiWi ; 1265";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4519971&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/010432752";"";"";"";"";"";"13,N49 , 14,A21"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-499-23690-7 kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.), 3-499-23690-7, IDN:1044315113";"";"Bergmann, Renate [Verfasser]";"Ich bin nicht süß, ich hab bloß Zucker : eine Online-Omi sagt, wie's ist / Renate Bergmann";"";"Orig.-Ausg.";"Reinbek bei Hamburg : Rowohlt-Taschenbuch-Verl.";"2014";"223 S. ; 19 cm";"978-3-499-23690-7";"";"";"";"kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.)";"ger";"XA-DE-SH";"";"";"Rororo ; 23690";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4507940&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/010429638";"";"Berlin-Spandau ; Frau ; Hohes Alter ; Alltag ; Belletristische Darstellung";"";"";"";"13,N48 , 14,A32"
"";"URN:urn:nbn:de:101:1-2014083122034, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2014083122034, URL:http://d-nb.info/105783694X/34, URL:http://www.randomhouse.de/book/edition.jsp?isbn=9783641126810, ISBN:978-3-641-12681-0, IDN:105783694X";"Online-Ressource";"Harrison, Harry [Verfasser] ; Westermayr, Tony [Übersetzer]";"New York 1999 : Roman / Harry Harrison";"";"";"München : Heyne Verlag";"2014";"Online-Ressource";"978-3-641-12681-0";"";"";"";"";"ger";"XA-DE-BY";"";"";"";"";"";"";"";"Druckausg.: ISBN: 978-3-641-12681-0; Druckausg.: ISBN: 978-3-641-12681-0; Druckausg.";"Make Room! Make Room! <dt.>";"";"14,O10"
"810 Englische Literatur Amerikas ; B Belletristik";"ISBN:978-3-453-43686-2 kart. : EUR 10.99 (DE), EUR 11.30 (AT), sfr 16.50 (freier Pr.), 3-453-43686-5, IDN:1028147961";"";"King, Stephen [Verfasser] ; Körber, Joachim [Übersetzer]";"Albträume = Nightmares & Dreamscapes / Stephen King. Aus dem Amerikan. von Joachim Körber";"";"Vollst. dt. Taschenbuchausg.";"München : Heyne";"2013";"1070 S. ; 19 cm";"978-3-453-43686-2";"";"";"";"kart. : EUR 10.99 (DE), EUR 11.30 (AT), sfr 16.50 (freier Pr.)";"ger";"XA-DE-BY";"";"";"";"";"";"";"";"";"Nightmares & Dreamscapes <dt.>";"";"12,N49 , 13,A41"
"820 Englische Literatur ; B Belletristik";"ISBN:978-3-458-35915-9 kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.), 3-458-35915-X, IDN:1028543816";"";"Horowitz, Anthony [Verfasser] ; Wolff, Lutz-Werner [Übersetzer]";"Das Geheimnis des weißen Bandes : ein Sherlock-Holmes-Roman / Anthony Horowitz. Aus dem Engl. von Lutz-W. Wolff. Conan Doyle Estate Ltd.";"";"1. Aufl.";"Berlin : Insel-Verl.";"2013";"352 S. ; 19 cm";"978-3-458-35915-9";"";"";"";"kart. : EUR 9.99 (DE), EUR 10.30 (AT), sfr 14.90 (freier Pr.)";"ger";"XA-DE-BE";"";"";"Insel-Taschenbuch ; 4215";"";"http://d-nb.info/014538911";"";"";"";"The house of silk <dt.>";"";"12,N50 , 13,A34"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-426-51370-5 kart. : EUR 9.99 (DE), EUR 10.30 (AT), 3-426-51370-6, IDN:1034325965";"";"Gilbers, Harald [Verfasser]";"Germania : Roman / Harald Gilbers";"";"Orig.-Ausg.";"München : Knaur-Taschenbuch";"2013";"537 S. ; 19 cm";"978-3-426-51370-5";"";"";"";"kart. : EUR 9.99 (DE), EUR 10.30 (AT)";"ger";"XA-DE-BY";"";"";"Knaur ; 51370";"Inhaltstext [http://deposit.dnb.de/cgi-bin/dokserv?id=4322324&prov=M&dok_var=1&dok_ext=htm]";"http://d-nb.info/015116468";"";"";"";"";"";"13,N21 , 13,A47"
"830 Deutsche Literatur ; B Belletristik";"ISBN:978-3-458-35901-2 Pp. : EUR 10.00 (DE), ca. EUR 10.30 (AT), ca. sfr 14.90 (freier Pr.), 3-458-35901-X, IDN:1022507230";"";"Zweig, Stefan [Verfasser] ; Unseld, Siegfried [Mitwirkender]";"Schachnovelle / Stefan Zweig. Mit einem Nachw. von Siegfried Unseld";"";"1. Aufl.";"Berlin : Insel-Verl.";"2013";"115 S. ; 20 cm";"978-3-458-35901-2";"";"";"";"Pp. : EUR 10.00 (DE), ca. EUR 10.30 (AT), ca. sfr 14.90 (freier Pr.)";"ger";"XA-DE-BE";"";"";"Insel-Taschenbuch ; 4201";"";"http://d-nb.info/014538911";"";"Brasilien ; Flüchtling ; Schachspieler ; Österreicher ; Geschichte 1940 ; Belletristische Darstellung";"Online-Ausg. Stefan Zweig: Schachnovelle";"";"";"12,N22 , 13,A06"
"";"URN:urn:nbn:de:101:1-2013052810494, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2013052810494, URL:http://d-nb.info/103519418X/34, URL:http://www.luebbe.de, ISBN:978-3-8387-4641-8, IDN:103519418X";"Online-Ressource";"Eschbach, Andreas [Verfasser]";"Solarstation : Roman / Andreas Eschbach";"";"1. Aufl.";"Köln : Lübbe Digital";"2013";"Online-Ressource";"978-3-8387-4641-8";"";"";"";"";"ger";"XA-DE-NW";"";"";"";"";"";"";"";"Druckausg.: ISBN: 978-3-404-24259-7; Erscheint auch als Andreas Eschbach: Solarstation";"";"";"13,O06"
